Variable_micro_RENAMU,Label,Tipo,N_unicos,Valores,Bloque_tematico,Agregacion_sugerida,Macro_objetivo_ejemplo
muepeq_muni_7b,Número de bienes / Camión / No operativos,numeric,19,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_3a,Número de bienes / Ambulancia / Operativos,numeric,9,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_3b,Número de bienes / Ambulancia / No operativos,numeric,5,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_2a,Número de bienes / Motocicleta / Operativos,numeric,111,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_2b,Número de bienes / Motocicleta / No operativos,numeric,62,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_8a,Número de bienes / Bote y/o lancha / Operativos,numeric,11,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_8b,Número de bienes / Bote y/o lancha / No operativos,numeric,8,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_7a,Número de bienes / Rodillo liso vibratorio y/o neumático / Operativos,numeric,9,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_7b,Número de bienes / Rodillo liso vibratorio y/o neumático / No operativos,numeric,3,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_9a,Número de bienes / Grupo electrógeno / Operativos,numeric,30,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_9b,Número de bienes / Grupo electrógeno / No operativos,numeric,15,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_10a,Número de bienes / Panel solar / Operativos,numeric,28,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_10b,Número de bienes / Panel solar / No operativos,numeric,15,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_11a,Número de bienes / Otro vehículo y/o equipo / Operativos,numeric,39,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_11b,Número de bienes / Otro vehículo y/o equipo / No operativos,numeric,15,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
comu_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
comu_muni_2,Número de líneas fijas,numeric,63,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
comu_muni_4,"Número de líneas móviles (incluye RPC, RPM y otros)",numeric,155,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
compu_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_tecnologia_muni
compu_muni_1,"Número de computadoras operativas/ Pentium (I, II, III y IV)",numeric,77,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_2,Número de computadoras operativas / Pentium D y/o Celeron,numeric,60,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_3,Número de computadoras operativas / Core Duo y/o Core 2 Duo,numeric,152,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_4,Número de computadoras operativas / Core 2 Quad,numeric,66,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_5,Número de computadoras operativas / Core i3,numeric,138,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_6,Número de computadoras operativas / Core i5,numeric,204,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_7,Número de computadoras operativas / Core i7,numeric,173,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_8,Número de computadoras operativas / (Advanced Micro Device),numeric,69,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
compu_muni_9,Número de computadoras operativas / Otro,numeric,31,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_bienes_total_y_ratio_operativos
impres_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
impres_muni_2,Número de equipos operativos / Fotocopiadoras,numeric,56,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
impres_muni_4,Número de equipos operativos / Escáner,numeric,49,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
impres_muni_6,Número de equipos operativos / Impresora básica,numeric,168,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
impres_muni_8,Número de equipos operativos / Impresora multifuncional,numeric,140,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
impres_muni_10,Número de equipos operativos / Proyector multimedia,numeric,56,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
impres_muni_12,Número de equipos operativos / Otro,numeric,19,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
red_muni,¿Municipalidad Informó?,haven_labelled,1,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
red_muni_2,Número de computadoras interconectadas a red informática local,numeric,282,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
inter_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
inter_muni_2,Número de computadoras con acceso a internet,numeric,412,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
inter_muni_3,Tipo de conexión a internet,haven_labelled,6,Si = 1; No = 2,Recursos Físicos y Tecnología,Categoría ordinal/nominal → one-hot o score ordinal,agg_equipamiento_municipal
portal_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
portal_muni_1,¿La municipalidad tiene Portal de Transparencia Estándar?,haven_labelled,4," Sí y está actualizado = 1; Sí y esta desactualizado = 2; No tiene, porque está en proceso de implementación = 3; No tiene, porque desconoce cómo implementarlo = 4",Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
propie_muni_1,Número de predios de propiedad municipal,numeric,158,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
propie_muni_2,Número de predios cedidos temporalmente en uso por otras entidades,numeric,46,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
propie_muni_3,Número de predios de propiedad municipal inscritos en registros públicos,numeric,105,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
propie_muni_4,Número de predios de propiedad y/o cedidos registrados en el SINABIP de la SBN,numeric,56,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
propie_muni_5,Número de predios de propiedad y/o cedidos que están desocupados,numeric,18,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
propie_muni_6,Número de predios de propiedad y/o cedidos con procesos judiciales,numeric,14,,Recursos Físicos y Tecnología,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_equipamiento_municipal
admin_muni_prop,¿La municipalidad cuenta con locales propios?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
admin_muni_alq,¿La municipalidad cuenta con locales alquilados?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
admin_muni_ced,¿La municipalidad cuenta con locales cedidos?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
muepeq_muni_12a,Número de bienes / Otro vehículo y/o equipo (2) / Operativos,numeric,3,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_12b,Número de bienes / Otro vehículo y/o equipo (2) / No operativos,numeric,2,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
per_001,Municipalidad,haven_labelled,2,No = 0; Sí = 1,Recursos Humanos,Categoría ordinal/nominal → one-hot o score ordinal,agg_personal_total_y_por_regimen
per_002,Total personal / Funcionarios y/o Directivos,numeric,111,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_003,Decreto Legislativo N° 276 / Nombrado / Funcionarios y Directivos / Mujer,numeric,31,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_004,Decreto Legislativo N° 276 / Nombrado / Funcionarios y/o Directivos / Hombre,numeric,49,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_005,Decreto Legislativo N° 276 / Contratado / Funcionarios y/o Directivos / Mujer,numeric,29,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_006,Decreto Legislativo N° 276 / Contratado / Funcionarios y/ o Directivos / Hombre,numeric,53,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_007,Decreto Legislativo N° 728 / Funcionarios y/o Directivos / Mujer,numeric,2,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_008,Decreto Legislativo N° 728 / Funcionarios y/ o Directivos / Hombre,numeric,1,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_009,Contrato Administrativo de Servicios (CAS) / Funcionarios y/o Directivos / Mujer,numeric,29,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_010,Contrato Administrativo de Servicios (CAS) / Funcionarios y/o Directivos / Hombr,numeric,49,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_087,Locación de Servicios / Funcionarios y/o Directivos / Mujer,numeric,28,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_088,Locación de Servicios / Funcionarios y/o Directivos / Hombre,numeric,43,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_011,Total personal / Empleados / Profesionales,numeric,227,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_012,Decreto Legislativo N° 276 / Nombrado / Empleados / Profesionales / Mujer,numeric,41,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_013,Decreto Legislativo N° 276 / Nombrado / Empleados / Profesionales / Hombre,numeric,38,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_014,Decreto Legislativo N° 276 / Contratado/ Empleados / Profesionales / Mujer,numeric,47,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_015,Decreto Legislativo N° 276 / Contratado/ Empleados / Profesionales / Hombre,numeric,82,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_016,Decreto Legislativo N° 728 / Empleados / Profesionales / Mujer,numeric,1,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_017,Decreto Legislativo N° 728 / Empleados / Profesionales / Hombre,numeric,2,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_018,Contrato Administrativo de Servicios (CAS) / Empleados / Profesionales / Mujer,numeric,93,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_019,Contrato Administrativo de Servicios(CAS)/ Empleados / Profesionales / Hombre,numeric,101,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_089,Locación de Servicios / Empleados / Profesionales / Mujer,numeric,65,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_090,Locación de Servicios / Empleados / Profesionales / Hombre,numeric,81,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_020,Total personal / Empleados / Técnicos,numeric,333,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_021,Decreto Legislativo N° 276 / Nombrado / Empleados / Técnicos / Mujer,numeric,65,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_022,Decreto Legislativo N° 276 / Nombrado / Empleados / Técnicos / Hombre,numeric,82,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_023,Decreto Legislativo N° 276/ Contratado / Empleados / Técnicos / Mujer,numeric,62,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_024,Decreto Legislativo N° 276 / Contratado / Empleados / Técnicos / Hombre,numeric,82,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_025,Decreto Legislativo N° 728/ Empleados / Técnicos / Mujer,numeric,2,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_026,Decreto Legislativo N° 728 / Empleados / Técnicos / Hombre,numeric,2,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_027,Contrato Administrativo de Servicios (CAS) / Empleados / Técnicos / Mujer,numeric,135,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_028,Contrato Administrativo de Servicios (CAS) / Empleados / Técnicos / Hombre,numeric,162,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_091,Locación de Servicios / Empleados / Técnicos / Mujer,numeric,91,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_092,Locación de Servicios / Empleados / Técnicos / Hombre,numeric,108,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_029,Total personal / Empleados / Auxiliares,numeric,335,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_030,Decreto Legislativo N° 276 / Nombrado / Empleados / Auxiliares / Mujer,numeric,48,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_031,Decreto Legislativo N° 276 / Nombrado / Empleados / Auxiliares / Hombre,numeric,70,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_032,Decreto Legislativo N° 276 / Contratado/ Empleados / Auxiliares / Mujer,numeric,62,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_033,Decreto Legislativo N° 276 / Contratado/ Empleados / Auxiliares / Hombre,numeric,75,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_034,Decreto Legislativo N° 728 / Empleados / Auxiliares / Mujer,numeric,4,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_035,Decreto Legislativo N° 728 / Empleados / Auxiliares / Hombre,numeric,4,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_036,Contrato Administrativo de Servicios (CAS) / Empleados / Auxiliares / Mujer,numeric,154,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_037,Contrato Administrativo de Servicios (CAS) / Empleados / Auxiliares / Hombre,numeric,191,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_093,Locación de Servicios / Empleados / Auxiliares / Mujer,numeric,78,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_094,Locación de Servicios / Empleados / Auxiliares / Hombre,numeric,110,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_038,Total personal / Obreros / De limpieza,numeric,259,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_039,Decreto Legislativo N° 276 / Nombrado / Obreros / De limpieza / Mujer,numeric,22,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_040,Decreto Legislativo N° 276 / Nombrado / Obreros / De limpieza / Hombre,numeric,32,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_041,Decreto Legislativo N° 276 / Contratado / Obreros / De limpieza / Mujer,numeric,22,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_042,Decreto Legislativo N° 276 / Contratado / Obreros / De limpieza / Hombre,numeric,27,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_043,Decreto Legislativo N° 728 / Obreros / De limpieza / Mujer,numeric,105,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_044,Decreto Legislativo N° 728 / Obreros / De limpieza / Hombre,numeric,145,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_045,Contrato Administrativo de Servicios (CAS) / Obreros / De limpieza / Mujer,numeric,92,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_046,Contrato Administrativo de Servicios (CAS) / Obreros / De limpieza / Hombre,numeric,97,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_095,Locación de Servicios / Obreros / De limpieza / Mujer,numeric,65,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_096,Locación de Servicios / Obreros / De limpieza / Hombre,numeric,65,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_047,Total personal / Obreros / Otros,numeric,377,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_048,Decreto Legislativo N° 276 / Nombrado / Obreros / Otros / Mujer,numeric,17,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_049,Decreto Legislativo N° 276 / Nombrado / Obreros / Otros / Hombre,numeric,37,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_050,Decreto Legislativo N° 276 / Contratado / Obreros / Otros / Mujer,numeric,16,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_051,Decreto Legislativo N° 276/ Contratado / Obreros / Otros / Hombre,numeric,37,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
